company,job_title,company_rating,location,salary_avg_estimate,salary_estimate_payperiod,company_size,company_founded,employment_type,industry,sector,revenue,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating
Sasken Technologies Limited,ENGINEER - DATA ANALYTICS,3.5,India,0,Unknown,1001 to 5000 Employees,1989,Company - Public,"Cable, Internet & Telephone Providers","Cable, Internet & Telephone Providers",$25 to $50 million (USD),3.2,3,3.6,3.2,3.4
HP,Data Analyst-Finance,4.1,Bengaluru,869528,/yr (est.),10000+ Employees,1939,Company - Public,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,3.7,3.7,4.3,3.8,4.2
NatWest Group,Business Analyst,4.1,Bengaluru,483915,/yr (est.),10000+ Employees,1727,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),3.7,3.5,4.2,3.7,4.3
Akamai,Business Systems Analyst - Remote,4.6,Remote,0,Unknown,5001 to 10000 Employees,1998,Company - Public,Information Technology Support Services,Information Technology Support Services,$2 to $5 billion (USD),4.3,4.3,4.6,4.2,4.6
4CRisk.ai Software,Data Quality Analyst,4,Bengaluru,0,Unknown,51 to 200 Employees,Unknown,Contract,Unknown,Unknown,Unknown / Non-Applicable,4.3,4.3,4.3,4.8,3.8
PayU,Data Analyst,3.7,Bengaluru,380225,/yr (est.),1001 to 5000 Employees,2002,Company - Private,Internet & Web Services,Internet & Web Services,$10+ billion (USD),3.6,3.6,3.6,3.4,3.6
Konceive Development Center Pvt. Ltd.,Data Analyst,4.6,Panchkula,35000,/mo (est.),1 to 50 Employees,Unknown,Company - Private,Advertising & Public Relations,Advertising & Public Relations,Unknown / Non-Applicable,4.5,4.6,4.5,4.5,4.7
InitiateFirst.,Data Scientist,4.7,Bengaluru,579655,/yr (est.),51 to 200 Employees,Unknown,Self-employed,Unknown,Unknown,Unknown / Non-Applicable,4.5,4.5,4.5,4.5,5
LXT,Hindi & English - Data Entry Clerk (Transcriber),3.3,Hyderābād,26000,/mo (est.),1 to 50 Employees,2010,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,2.8,3.4,3.2,3,3.3
Cognizant Technology Solutions,Data Analyst,3.8,Mumbai,382568,/yr (est.),10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.6,3.4,3.7,3.3,3.6
Leaf workforcez,Data Engineer,,Remote,2000000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
prwatech technologies,Data Analyst,,India,15000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Helius Technologies,Data Scientist (Machine Learning),4.2,India,0,Unknown,501 to 1000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),4,4,4.3,4.1,4.3
Dun & Bradstreet,"Analyst, Data Science (R-15410)",3.9,Chennai,505782,/yr (est.),5001 to 10000 Employees,1841,Company - Public,Information Technology Support Services,Information Technology Support Services,$2 to $5 billion (USD),3.7,3.8,3.9,3.7,4.1
Syneos Health Clinical,Senior Clinical Data Associate,3.8,Remote,0,Unknown,10000+ Employees,Unknown,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,3.5,3.5,3.8,3.5,3.9
Haleon,Data Analyst,3.8,Gurgaon,536656,/yr (est.),10000+ Employees,2022,Company - Public,Health Care Products Manufacturing,Health Care Products Manufacturing,$10+ billion (USD),3.3,3.9,3.7,3.3,3.7
Built-Right Digital,Digital Marketing Data Analyst,,Remote,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
JPMorgan Chase & Co,Data Visualization Associate,4,Hyderābād,742967,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Whitespace Global,Data Analyst,,Mumbai,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Tata Consultancy Services,Azure data engineer,3.8,Bengaluru,494975,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
KPMG,Risk Advisory Data Analytics Executive,3.8,Mumbai,509902,/yr (est.),10000+ Employees,1987,Company - Private,Business Consulting,Business Consulting,$2 to $5 billion (USD),4,3.3,3.7,3.5,3
Zinnov,Math- Data Analyst III,3.9,Bengaluru,216304,/yr (est.),201 to 500 Employees,2002,Company - Private,Business Consulting,Business Consulting,$5 to $25 million (USD),3.8,3.6,3.8,3.7,3.3
Wild Fox Business Advocacy,Junior Data Analyst,,Calcutta,20500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
PayPal,Data Scientist,3.9,Bengaluru,296029,/yr (est.),10000+ Employees,1998,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),3.5,3.9,3.9,3.3,4
JPMorgan Chase & Co,Client Data Associate I,4,Bengaluru,456586,/yr (est.),10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
MiQ Digital,Data Scientist II,3.6,Bengaluru,143000,/yr (est.),501 to 1000 Employees,2010,Company - Private,Advertising & Public Relations,Advertising & Public Relations,Unknown / Non-Applicable,3.6,3.7,3.7,3.2,3.6
Bosch Group,Data Scientists 2024,4.2,Coimbatore,975724,/yr (est.),10000+ Employees,1886,Company - Private,Consumer Product Manufacturing,Consumer Product Manufacturing,$10+ billion (USD),3.9,3.7,4.2,3.7,4.1
Sanfoundry,Junior Machine Learning Engineer - Fresher,,Noida,0,Unknown,1 to 50 Employees,Unknown,Self-employed,Colleges & Universities,Colleges & Universities,Unknown / Non-Applicable,4.5,4.3,4.6,4.7,4.6
AssetSoft,Junior SQL Developer,3.8,India,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.1,3.8,4,4.1,3.9
The Scalers,Data Operations Associate,4.2,Bengaluru,0,Unknown,201 to 500 Employees,2014,Company - Private,HR Consulting,HR Consulting,Unknown / Non-Applicable,3.9,4.1,4.1,4,4.2
velan,Data Analyst,4.6,Coimbatore,394360,/yr (est.),201 to 500 Employees,2007,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.4,4.1,4.3,4.3,4.4
Upsquare Technologies,Data Scientist,,India,0,Unknown,51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,5,4.4,5,5,5
Mansun Consultancy Private Limited,Data Visualization Associate Intern,,Remote,27500,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Insticator Inc,Data Analyst,4,Remote,0,Unknown,51 to 200 Employees,2012,Company - Private,Internet & Web Services,Internet & Web Services,$25 to $50 million (USD),4.2,4,4.2,4,4.3
Pricelabs,Data Scientist (Remote),,Pune,648701,/yr (est.),51 to 200 Employees,2015,Company - Private,Software Development,Software Development,Unknown / Non-Applicable,4.7,4.6,5,5,4.9
Next Education,Data Analyst,3.7,Hyderābād,830016,/yr (est.),1001 to 5000 Employees,2007,Company - Private,Primary & Secondary Schools,Primary & Secondary Schools,$25 to $50 million (USD),3.6,3.5,3.4,3.3,3.3
Tech27 Systems Ltd.,DATA SCIENTIST,,Calicut,438178,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,3.6,2.2,3.5,2.8,3.8
Tata Consultancy Services,Salesforce Data Cloud (CDP),3.8,Bengaluru,0,Unknown,10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
"Ventra Health, Inc.",Data Analyst,3.3,India,0,Unknown,1001 to 5000 Employees,Unknown,Company - Private,Healthcare Services & Hospitals,Healthcare Services & Hospitals,Unknown / Non-Applicable,3.2,3,3.2,3,3.5
smartData Enterprises,Python Data Engineer freelancer,,Remote,90000,/mo (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Aspire SoftServ,AI/ML Developer - Data Scientist,,India,0,Unknown,51 to 200 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
"Swastiks Masalas, Pickles And Food Products Private Limited",Data Analyst,,Bengaluru,550000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
IDFC FIRST Bank,Data Scientist-Cx Analytics,4.1,Mumbai,917918,/yr (est.),10000+ Employees,2018,Company - Public,Banking & Lending,Banking & Lending,Unknown / Non-Applicable,4.1,4.1,3.9,3.9,3.7
CLOUDSUFI,Data Engineer,,Noida,2500000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Affine,Data Scientist,4.8,Bengaluru,459752,/yr (est.),1 to 50 Employees,2016,Private Practice / Firm,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.6,3.9,4.8,4.4,4.3
JPMorgan Chase & Co,Quant Analytics -Data & Strategy Associate,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Opkey,Data Research Analyst- EST Shift,,Noida,400000,/yr (est.),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
WPP,Data Analyst,3.6,Mumbai,381995,/yr (est.),10000+ Employees,1985,Company - Public,Advertising & Public Relations,Advertising & Public Relations,$10+ billion (USD),3.3,3.3,3.5,3.1,3.3
Tsaaro,Data Protection Consultant,,Remote,0,Unknown,51 to 200 Employees,2021,Company - Private,Security & Protective,Security & Protective,Unknown / Non-Applicable,3.3,3,3,3,3
Tecvesten Consulting,Junior Data Scientist,,Chennai,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Rojgar Group,Data Analytics,3.6,Remote,650000,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.6,2,3.6,2.3,2
JPMorgan Chase & Co,Data Visualization Associate Senior,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Cognizant Technology Solutions,Process Executive - Data,3.8,Chennai,0,Unknown,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.6,3.4,3.7,3.3,3.6
Cargill,Analytics Data Process Analyst,4.1,Gurgaon,717577,/yr (est.),10000+ Employees,1865,Company - Private,Crop Production,Crop Production,Unknown / Non-Applicable,3.8,3.9,4.1,3.6,3.8
United Airlines,Data Scientist,3.9,Gurgaon,110000,/yr (est.),10000+ Employees,1926,Company - Public,"Airlines, Airports & Air Transportation","Airlines, Airports & Air Transportation",$10+ billion (USD),3.9,3.8,3.6,3.2,3.4
Tata Consultancy Services,BI_Data Engineer,3.8,Chennai,432461,/yr (est.),10000+ Employees,1968,Company - Public,Software Development,Software Development,$10+ billion (USD),3.7,3.1,3.9,3.3,3.8
Tata Elxsi,Data Analytics / Machine Learning Engineers,4.1,Bengaluru,395285,/yr (est.),10000+ Employees,1989,Company - Public,Information Technology Support Services,Information Technology Support Services,$100 to $500 million (USD),4.1,3.4,4.2,3.7,4
Medtek.AI,DATA SCIENCE INTERN,,Noida,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3,5,3,2,2
Ideas to Impacts Innovations,"Data Annotator/Data Tagging - India, Ahmednagar",4.4,Maharashtra,0,Unknown,201 to 500 Employees,2015,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.4,3.9,4.3,4.3,4.5
Hernandez & Company,Data Analyst,4.5,India,0,Unknown,51 to 200 Employees,1992,Company - Private,Accounting & Tax,Accounting & Tax,Unknown / Non-Applicable,4.3,3.8,4.5,4.3,4.4
7N,Data & Analytics,3.9,Remote,0,Unknown,1001 to 5000 Employees,1965,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.4,3.8,4.3,3.8,4.5
NICE Systems,Data Scientist,4.2,Pune,830662,/yr (est.),5001 to 10000 Employees,1986,Company - Public,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$1 to $5 million (USD),4.1,4,4.3,4,4.1
Discover Dollar,Data Science Intern,4.8,Bengaluru,0,Unknown,1 to 50 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.6,4.4,5,4.8,4.6
Infosys,AZURE Data Engineer,3.8,Bengaluru,443530,/yr (est.),10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.8,3,4,3.5,3.7
Google,"Business Data Scientist, Machine Learning Finance",4.4,Bengaluru,0,Unknown,10000+ Employees,1998,Company - Public,Internet & Web Services,Internet & Web Services,$10+ billion (USD),4.2,4.5,4.3,3.9,4.2
Barclays,Data Scientist,4,Chennai,841487,/yr (est.),10000+ Employees,1690,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),3.8,3.9,4,3.5,3.9
Cognizant Technology Solutions,Process Executive - Data,3.8,Hyderābād,0,Unknown,10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.6,3.4,3.7,3.3,3.6
Wibits Web Solutions,Data Entry Analyst,4.4,Nagercoil,254558,/yr (est.),1 to 50 Employees,2014,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.3,3.8,4.6,4.6,5
Oracle,Data Center Technician,3.8,Hyderābād,765953,/yr (est.),10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$10+ billion (USD),3.6,3.5,3.7,3.5,4
Info Edge,Data Scientist,2.4,Noida,469574,/yr (est.),51 to 200 Employees,2003,Company - Private,Advertising & Public Relations,Advertising & Public Relations,Unknown / Non-Applicable,2.8,2.7,3.3,2.3,2.4
Eaton,Data Analyst,4.1,Pune,529906,/yr (est.),10000+ Employees,1911,Company - Public,Electronics Manufacturing,Electronics Manufacturing,$10+ billion (USD),3.9,3.9,4.2,3.6,4
Deloitte,GCP_Data_Engineer,4.1,Bengaluru,635423,/yr (est.),10000+ Employees,1850,Company - Private,Accounting & Tax,Accounting & Tax,Unknown / Non-Applicable,4.1,4,4.1,3.8,3.3
William O’Neil India,Data Research Analyst,3.9,Bengaluru,381743,/yr (est.),201 to 500 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4,3.8,4,4.1,4.3
Smiths Group,Data Analyst,3.3,Bengaluru,1027178,/yr (est.),10000+ Employees,1851,Company - Public,Machinery Manufacturing,Machinery Manufacturing,$2 to $5 billion (USD),2.8,3,3.3,2.9,3.3
Snapchat,"Data Scientist, India",3.9,Mumbai,426368,/yr (est.),5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,3.4,4.3,3.8,3,3.6
Valency International,Data Analyst,3,India,0,Unknown,1001 to 5000 Employees,2007,Company - Private,Wholesale,Wholesale,$100 to $500 million (USD),2.9,2.8,2.9,2.8,2.7
Insider Biz,Data Scientist,,New Delhi,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
"McAfee, LLC",Data Analyst with Marketing Analytics,4.1,Remote,0,Unknown,1001 to 5000 Employees,1987,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),3.8,3.9,4.2,3.8,4.1
Galytix,Data Analyst,2.8,Gurgaon,549090,/yr (est.),51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,2.9,2.8,2.7,2.7,2.6
NetApp,"Data Analyst ( MS Excel, PowerBI, Tableau)",4.2,Bengaluru,613392,/yr (est.),10000+ Employees,1992,Company - Public,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,$5 to $10 billion (USD),4,4.2,4.3,3.8,4.2
Airtel India,Data Scientist,4.1,Gurgaon,200,/hr (est.),10000+ Employees,1995,Company - Public,Telecommunications Services,Telecommunications Services,$10+ billion (USD),4,3.9,3.9,3.7,3.6
AlignTech,Data Analyst,3.9,Hyderābād,446411,/yr (est.),10000+ Employees,1997,Company - Public,Health Care Products Manufacturing,Health Care Products Manufacturing,$2 to $5 billion (USD),3.6,3.9,3.7,3.4,3.5
ICICI Prudential Life Insurance,Data scientist,4.4,Mumbai,535110,/yr (est.),Unknown,2001,Company - Public,Insurance Carriers,Insurance Carriers,Unknown / Non-Applicable,4.4,4.3,4.3,4.2,4.1
Brave AI Lab,Data Science Intern,,India,0,Unknown,1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology Support Services,$1 to $5 million (USD),4.8,4.5,4.8,4.8,4.2
Cybage,BI- Data Analytics,4,Gāndhīnagar,0,Unknown,5001 to 10000 Employees,Unknown,Company - Public,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,3.9,3.6,4,3.7,3.9
Philips,Data Analyst I,4,Bengaluru,0,Unknown,10000+ Employees,1891,Company - Public,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$10+ billion (USD),3.8,3.7,4,3.5,4
IronList,DATA SCIENTIST,,Ahmedabad,424264,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Techneplus,Data Scientist - Bangalore/Noida/Hybrid,4.4,Bengaluru,627247,/yr (est.),201 to 500 Employees,2017,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.5,4.2,4.6,4.6,4.4
Schneider Electric,Data Analyst,4.2,Mumbai,261549,/yr (est.),10000+ Employees,1836,Company - Public,Energy & Utilities,Energy & Utilities,$10+ billion (USD),4.1,3.8,4.2,3.8,4
Helius Technologies,Data Analyst (Power BI),4.2,India,0,Unknown,501 to 1000 Employees,2006,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),4,4,4.3,4.1,4.3
scanO,Dental Data Annotator,3.6,India,0,Unknown,5001 to 10000 Employees,1984,Company - Public,Energy & Utilities,Energy & Utilities,$5 to $10 billion (USD),3,3.6,3.5,2.9,3.7
bp,Data Quality Analyst,4,Pune,577632,/yr (est.),10000+ Employees,1908,Company - Public,Energy & Utilities,Energy & Utilities,$10+ billion (USD),3.6,3.9,3.9,3.5,3.8
Imurgence,Junior Data Science Team Member,4,India,0,Unknown,Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3,3,3,4,3
Bharat Light & Power,Data Scientist,4,Bengaluru,613600,/yr (est.),51 to 200 Employees,Unknown,Company - Private,Enterprise Software & Network Solutions,Enterprise Software & Network Solutions,Unknown / Non-Applicable,4.1,3.8,4,3.9,3.9
JPMorgan Chase & Co,Reference Data Analyst - Digital Document Services,4,India,0,Unknown,10000+ Employees,1799,Company - Public,Banking & Lending,Banking & Lending,$10+ billion (USD),4,3.9,3.9,3.6,3.7
Ignitho,Data Scientist Associate,4.3,Chennai,830662,/yr (est.),51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.4,4.1,4.3,4.1,4.4
SearchUrCollege,Data Scientist,4,Noida,890000,/yr (est.),Unknown,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
V-Align Technologies,Data Analyst,,Bengaluru,648074,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.4,3.2,3.6,3.4,3.2
Zappian,Data Analyst,,Bhopal,608360,/yr (est.),Unknown,Unknown,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3.3,2.9,3.9,3.3,3.3
Marktine Technology Solutions,DATA SCIENTIST,4.2,Remote,0,Unknown,51 to 200 Employees,2015,Company - Private,Information Technology Support Services,Information Technology Support Services,$1 to $5 million (USD),4,3.7,4.1,4.1,4.3
Cognizant Technology Solutions,Process Specialist - Data,3.8,Hyderābād,588183,/yr (est.),10000+ Employees,1994,Company - Public,Information Technology Support Services,Information Technology Support Services,$10+ billion (USD),3.6,3.4,3.7,3.3,3.6
Ignitho,Data Scientist,4.3,Chennai,830662,/yr (est.),51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology Support Services,Unknown / Non-Applicable,4.4,4.1,4.3,4.1,4.4
Amagi,Applied Data Scientist,,Bengaluru,632456,/yr (est.),201 to 500 Employees,2008,Company - Private,Broadcast Media,Broadcast Media,Unknown / Non-Applicable,3.3,3.9,3.1,2.7,2.8
KhataBook,Data Engineer - I,3.3,Bengaluru,842992,/yr (est.),51 to 200 Employees,2018,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3.1,3.6,3.2,2.7,3.4
Vishal Infrastructure,Data Entry Operator,,Bengaluru,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Aditya Pharmacy,ASSISTANT DATA ANALYST,,Hyderābād,514686,/yr (est.),501 to 1000 Employees,Unknown,College / University,Unknown,Unknown,Unknown / Non-Applicable,,,,,
TecStub,Data Analyst (Power BI),4.1,Ahmedabad,161194,/yr (est.),51 to 200 Employees,2014,Company - Private,Software Development,Software Development,Less than $1 million (USD),4.2,4.1,4.1,4.1,4.1
AtkinsRéalis,Data Scientist,4,Gurgaon,840953,/yr (est.),10000+ Employees,1911,Company - Public,Construction,Construction,$5 to $10 billion (USD),3.8,3.7,3.9,3.5,3.9
Microsoft,Data Analyst,4.2,Hyderābād,394497,/yr (est.),10000+ Employees,1975,Company - Public,Computer Hardware Development,Computer Hardware Development,$10+ billion (USD),4,4.1,4.2,3.8,4.1
CoRover,Data Scientist,,Bengaluru,579655,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.8,4.6,4.7,4.8,4.6
Airbus,Data Analyst & Developer,4.1,Bengaluru,486056,/yr (est.),1001 to 5000 Employees,1970,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD),3.9,3.9,4,3.5,4.2
HP,Data Scientist 3,4.1,Bengaluru,830662,/yr (est.),10000+ Employees,1939,Company - Public,Computer Hardware Development,Computer Hardware Development,Unknown / Non-Applicable,3.7,3.7,4.3,3.8,4.2
BP Energy,Data Quality Analyst,4,Pune,577632,/yr (est.),10000+ Employees,1908,Company - Public,Energy & Utilities,Energy & Utilities,$10+ billion (USD),3.6,3.9,3.9,3.5,3.8
Prospus,Data Scraper,4.9,Remote,0,Unknown,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),4.9,4.3,4.4,4.8,4.4
Sandvik,Data Entry Operator,4.2,Udaipur,415692,/yr (est.),10000+ Employees,1862,Company - Public,Machinery Manufacturing,Machinery Manufacturing,$10+ billion (USD),3.8,3.9,4,3.5,3.9
"Medpace, Inc.",Data Coordinator - Core Laboratory,3.4,Thāne,589237,/yr (est.),5001 to 10000 Employees,1992,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD),3.3,3,3.2,3,3.2
BNY Mellon,"Associate, Data Management & Quantitative Analysis I",3.6,India,0,Unknown,10000+ Employees,1784,Company - Public,Investment & Asset Management,Investment & Asset Management,$10+ billion (USD),3.4,3.4,3.6,3.2,3.6
Zappian,Data Science Intern,,Bhopal,0,Unknown,Unknown,Unknown,Company - Private,Internet & Web Services,Internet & Web Services,Unknown / Non-Applicable,3.3,2.9,3.9,3.3,3.3
Innovaccer,Data Ops Engineer-I,3.4,Noida,949971,/yr (est.),1001 to 5000 Employees,2014,Company - Private,Healthcare Services & Hospitals,Healthcare Services & Hospitals,$25 to $50 million (USD),3.6,3.6,3.4,3.2,3.1
Stylumia Intelligence Technology,Data Scraping Engineer (Intern),,Bengaluru,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.8,3.5,3.9,3.7,3.7
Q-Dat IT Solutions,Data Analyst,5,India,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4.8,4.5,4.5,5,4.5
Genpro Research,Clinical Data Coordinator,,Thiruvananthapuram,421646,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3.3,3.6,3.7,3.6,3.7
A-1 Technology,Data Engineer,3.3,Remote,0,Unknown,201 to 500 Employees,2001,Company - Private,Computer Hardware Development,Computer Hardware Development,$25 to $50 million (USD),3.3,2.7,2.9,2.7,2.7
NovoTree Minds Consulting,Data Engineer,5,Bengaluru,548635,/yr (est.),1 to 50 Employees,2010,Company - Private,HR Consulting,HR Consulting,Unknown / Non-Applicable,5,4.9,4.9,4.9,5
DeepTek Medical Imaging,Associate Data Scientist,,Pune,529150,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,4,3.6,3.9,3.8,3.6
Millennium,Data Download/Extraction Engineer (Commodities),4.7,Bengaluru,743371,/yr (est.),5001 to 10000 Employees,1989,Company - Private,Investment & Asset Management,Investment & Asset Management,Unknown / Non-Applicable,4.8,4.8,5,5,5
Flipkart,Data Engineer II,3.9,Bengaluru,687410,/yr (est.),10000+ Employees,2007,Company - Private,Internet & Web Services,Internet & Web Services,$5 to $10 billion (USD),3.9,3.6,3.8,3.5,3.4
Infimetrics,Data Engineer(4+years),,Remote,0,Unknown,1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,3,3,5,4,5
MobileProgramming,Data Engineer,3.6,Remote,0,Unknown,1001 to 5000 Employees,2000,Company - Private,Computer Hardware Development,Computer Hardware Development,$100 to $500 million (USD),3.5,3.2,3.2,3.2,3.4
IronList,Data Analyst,,Ahmedabad,517240,/yr (est.),1 to 50 Employees,Unknown,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,,,,,
Merilytics,Analyst - Data Science,,Hyderābād,457463,/yr (est.),201 to 500 Employees,2012,Company - Private,Business Consulting,Business Consulting,Unknown / Non-Applicable,3.9,2.9,3.6,3.7,2.9
Thrasio,Data Analyst II,3.1,India,0,Unknown,501 to 1000 Employees,2018,Company - Private,Other Retail Shops,Other Retail Shops,Unknown / Non-Applicable,2.9,3,3.3,2.8,3.7
CoinDCX,Data Engineer,4.1,Bengaluru,385400,/yr (est.),201 to 500 Employees,2018,Company - Private,Investment & Asset Management,Investment & Asset Management,Unknown / Non-Applicable,4,4.1,4.1,3.8,4
BNY Mellon,"Intermediate Representative, Data Management & Quantitative Analysis",3.6,India,0,Unknown,10000+ Employees,1784,Company - Public,Investment & Asset Management,Investment & Asset Management,$10+ billion (USD),3.4,3.4,3.6,3.2,3.6
Tridiagonal Solutions,Data Science Intern,3.4,Pune,0,Unknown,51 to 200 Employees,Unknown,Company - Private,Information Technology Support Services,Information Technology Support Services,$5 to $25 million (USD),3.4,2.8,3,2.9,3.2
Iron Mountain,Data Analyst,3.7,Bengaluru,614010,/yr (est.),10000+ Employees,1951,Company - Public,Information Technology Support Services,Information Technology Support Services,$2 to $5 billion (USD),3.3,3.5,3.5,3.3,3.6
TalentSurabhi(TS),Clinical Data Manager,,Remote,0,Unknown,1 to 50 Employees,2020,Company - Private,HR Consulting,HR Consulting,Unknown / Non-Applicable,,,,,
AllianceBernstein,Data Analyst,3.8,Pune,0,Unknown,1001 to 5000 Employees,1967,Company - Public,Investment & Asset Management,Investment & Asset Management,$2 to $5 billion (USD),3.5,3.3,3.9,3.4,3.8
